Num_Pucks,Spread_Width,Bias_ON,Bias_Strength,Num_Lobes,Symmetry_Type,Symmetry_Strength,Dynamic_Lobes,Field_Strength,Dynamic_Field,Dynamic_Field_Strength,Dynamic_Symmetry_Strength,Experiment_Notes
500,2.0,False,0.0,3,Elliptical,0.0,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.05,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.1,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.15,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.2,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.25,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.3,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.35,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.4,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.45,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.5,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.55,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.6,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.65,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.7,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.75,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.8,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.85,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.9,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,0.95,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
500,2.0,False,0.0,3,Elliptical,1.0,True,0.05,True,0.1,0.0,"Collapse Landscape: Lobe = 3, sweeping Symmetry Strength"
